时代,日期,事件
魔法时代,1453年5月03日,东罗马帝国君士坦丁堡，高维碎片接触地球
魔法时代,1453年5月28日,碎片完全离开地球
魔法时代,1453年5月29日,“魔法师”狄奥伦娜死亡
魔法时代,1453年5月29日?,拜占庭陷落
黄金岁月,1922年11月,爱因斯坦访问上海，绍林的父亲陪同
黄金岁月,1947年6月,叶文洁出生
黄金岁月,1952年,叶文雪出生
黄金岁月,1961年,北京清华大学?叶文洁进入物理系，后攻读本校天体物理专业研究生
黄金岁月,1963年,章北海出生
黄金岁月,1966年,叶文洁发表论文《太阳辐射层内可能存在的能量界面和其反射特性》于《天体物理学》杂志
黄金岁月,1966年,内蒙古大兴安岭某地红岸基地动工
黄金岁月,1967年,叶文雪死亡
黄金岁月,1967年,北京清华大学东大操场叶文洁目睹父亲叶哲泰被清华附中红卫兵批斗致死，后加入内蒙古生产建设兵团
黄金岁月,1968年,红岸基地建立
黄金岁月,1969年,叶文洁在大兴安岭读《寂静的春天》
黄金岁月,1969年,内蒙古生产建设兵团《大生产报》的记者白沐霖陷害叶文洁
黄金岁月,1969年,叶文洁来到红岸基地
黄金岁月,1970年,叶文洁发现太阳能量镜面效应与增益效应
黄金岁月,1971年,叶文洁向太空发射讯号
黄金岁月,1973年,叶文洁与杨卫宁组成了家庭
黄金岁月,1975年,半人马座三星三体世界1379号监听员收到叶文洁发出的信息，发送警报。三体世界得知地球存在
黄金岁月,1978年,罗辑出生（与杨冬是同学）
黄金岁月,1979年10月21日,清晨叶文洁接收到并译解三体世界的警告信息，并作出回复。同日雷志成发现该信息。
黄金岁月,1979年10月21日下午,叶文洁杀死政委雷志成和扬卫宁
黄金岁月,1980年6月,杨冬出生（杨冬墓碑上写的是1979年）
黄金岁月,1982年,叶哲泰平反，叶文洁离开红岸基地，回到清华大学任教
黄金岁月,1982年,叶文洁在西北某山区遇到伊文斯
黄金岁月,1983年,智子工程启动，三体舰队驶向地球
黄金岁月,1983年,程心出生即被遗弃，被其母亲收养。云天明出生
黄金岁月,1984年,叶文洁约见参与打死叶哲泰的三名幸存红卫兵
黄金岁月,1985年,伊文思继承四十五亿美元遗产，并独自返回中国继续植树
黄金岁月,1985年,西北某黄土高原山区?伊文斯植树遭当地村民哄抢，向一面之缘的叶文洁写信求助。?叶文洁看望伊文斯，并告知联系三体世界的情况。伊文斯离开中国，启动第二红岸工程和“审判日”号建造
黄金岁月,1986年,？程心出生
黄金岁月,1987年,红岸基地关闭
黄金岁月,1988年,英国第二红岸基地“审判日”号建成，伊文思收到三体世界信息。伊文思邀请叶文洁来到“审判日”号，地球三体运动诞生，推举叶文洁为最高统帅
黄金岁月,1988年,庄颜出生于高级知识份子家庭
黄金岁月,1991年,智子在三体星系展开
黄金岁月,1996年,罗辑与杨冬成为高中同学，正在上初中的云天明父母离异
黄金岁月,1999年,罗辑进入大学，攻读天文学专业
黄金岁月,2001年,三体星向地球发送两个“智子”
黄金岁月,2002年9月,北京程心、云天河考入大学（疑为北航），共同就读航天发动机专业。同年在密云水库边二人第一次交谈
黄金岁月,2003年,三体世界停止与地球三体组织的电磁信号联系
黄金岁月,2004年,叶文洁退休
黄金岁月,2005年,两个智子抵达地球
黄金岁月,2005年,丁仪与某舞蹈演员同居
黄金岁月,2005年,“科学边界”学会诞生
黄金岁月,2006年,人类发现存在其他观测者
黄金岁月,2006年,汪淼在良湘工地上见到杨冬与她男友丁仪，汪淼与申玉菲相识，受邀加入‘科学边界’学会
黄金岁月,2006年,史强涉嫌刑讯逼供使一名嫌疑人致残被有关部门停职，常伟思将其借入地球防务安全部
黄金岁月,2006年,云天明、程心大学毕业。程心在上海的航天技术研究院（航天八所）就读研究生，云天明就业，二人中断联系
黄金岁月,2006年,罗辑入职教授社会学
黄金岁月,2007年6月7日,杨冬服安眠药身亡（此段时间线感谢安替的纠正——时雨）
黄金岁月,2007年6月9日,史强首次找到汪淼教授，调查和他和“科学边界“学会关系。少校军官邀请汪淼参加下午的会议
黄金岁月,2007年6月9日 16:00,汪淼来到军方“作战中心”。陆军少将常伟思主持会议，他请汪淼做“科学边界”的卧底
黄金岁月,2007年6月9日 20:00,汪淼与丁仪在丁仪家中见面
黄金岁月,2007年6月10日18时30分,汪淼在胶卷中发现倒计时数字
黄金岁月,2007年6月11日7时,纳米中心停止设备运行
黄金岁月,2007年6月12日,汪淼进入“三体”游戏，拜访叶文洁
黄金岁月,2007年6月14日,宇宙闪烁
黄金岁月,2007年,叶文洁在杨冬墓前向罗辑告知了宇宙社会学的两个公理和两个概念，同日，三体世界对罗辑下达追杀令
黄金岁月,2007年,叶文洁被捕，抓捕过程中，史强受到辐射
黄金岁月,2007年,史强设计“古筝行动”，攻击“审判日”号，伊文思死亡
